"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Darkest Hour","2017",7.4,174896,"Action","PG-13","Joe Wright","Gary Oldman",56468410,4069,175006,"0.3",4069,"2017-08-01","2017-08-01","Not POC","White"
"Happy Death Day","2017",6.6,119022,"Comedy","PG-13","Christopher Landon","Jessica Rothe",55683845,2648,26039025,"46.8",2648,"2017-07-01","2017-07-01","Not POC","White"
"Three Billboards Outside Ebbing, Missouri","2017",8.1,442480,"Comedy","R","Martin McDonagh","Frances McDormand",54513740,2591,322168,"0.6",2591,"2017-10-01","2017-10-01","Not POC","White"
"Atomic Blonde","2017",6.7,177980,"Comedy","R","David Leitch","Charlize Theron",51687870,3714,18286420,"35.4",3714,"2017-02-01","2017-02-01","Not POC","White"
"American Made","2017",7.2,160692,"Comedy","R","Doug Liman","Tom Cruise",51342000,3710,16776390,"32.7",3710,"2017-04-01","2017-04-01","Not POC","White"
"The Dark Tower","2017",5.6,129493,"Comedy","PG-13","Nikolaj Arcel","Idris Elba",50701325,3226,19153698,"37.8",3226,"2017-06-01","2017-06-01","POC","Black"
"Lady Bird","2017",7.4,246931,"Comedy","R","Greta Gerwig","Saoirse Ronan",48958273,3226,364437,"0.7",3226,"2017-10-01","2017-10-01","Not POC","White"
"Boo 2! A Madea Halloween","2017",3.9,4200,"Comedy","PG-13","Tyler Perry","Tyler Perry",47319572,3468,21226953,"44.9",3468,"2017-12-01","2017-12-01","POC","Black"
"Snatched","2017",4.5,33427,"Comedy","R","Jonathan Levine","Amy Schumer",45852178,3447,19542248,"42.6",3447,"2017-03-01","2017-03-01","Not POC","White"
"Smurfs: The Lost Village","2017",6,18838,"Comedy","PG","Kelly Asbury","Demi Lovato",45020282,3575,13210449,"29.3",3575,"2017-02-01","2017-02-01","POC","Hispanic"
"Going in Style","2017",6.6,77731,"Comedy","PG-13","Zach Braff","Michael Caine",45018541,3354,11932330,"26.5",3354,"2017-11-01","2017-11-01","Not POC","White"
"All Eyez on Me","2017",5.9,21423,"Comedy","R","Benny Boom","Demetrius Shipp Jr.",44922302,3341,26435354,"58.8",3341,"2017-03-01","2017-03-01","Not POC","White"
"xXx: Return of Xander Cage","2017",5.2,86273,"Comedy","PG-13","D.J. Caruso","Vin Diesel",44898413,3565,20130142,"44.8",3565,"2017-08-01","2017-08-01","Not POC","White"
"47 Meters Down","2017",5.7,49626,"Comedy","PG-13","Johannes Roberts","Mandy Moore",44307191,3502,11205561,"25.3",3502,"2017-11-01","2017-11-01","Not POC","White"
