"titles","year","imdb_rating","num_votes","genre","film_rating","director","lead_actor","gross","max_theaters","opening_gross","opening_weekend_perc","opening_theaters","open_date","close_date","Race","Race_Specific"
"Bohemian Rhapsody","2018",8,460662,"Action","PG-13","Bryan Singer","Rami Malek",216428042,4125,51061119,"23.6",4125,"2018-04-01","2018-04-01","Not POC","White"
"Bohemian Rhapsody","2018",8,460662,"Action","PG-13","Bryan Singer","Rami Malek",240000,871,240000,"0",871,"","","Not POC","White"
"A Star Is Born","2018",7.6,340623,"Action","R","Bradley Cooper","Lady Gaga",215288866,4349,42908051,"19.9",4349,"2018-05-01","2018-05-01","Not POC","White"
"Solo: A Star Wars Story","2018",6.9,297827,"Action","PG-13","Ron Howard","Alden Ehrenreich",213767512,4349,84420489,"39.5",4349,"2018-10-01","2018-10-01","Not POC","White"
"Venom","2018",6.7,367663,"Action","PG-13","Ruben Fleischer","Tom Hardy",213515506,4141,80255756,"37.6",4141,"2018-11-01","2018-11-01","Not POC","White"
"Ralph Breaks the Internet","2018",7,134986,"Action","PG","Phil Johnston","Rich Moore",201091711,4141,56237634,"28",4141,"2018-02-01","2018-02-01","Not POC","White"
"Spider-Man: Into the Spider-Verse","2018",8.4,389412,"Action","PG","Bob Persichetti","Peter Ramsey",190241310,4395,35363376,"18.6",4395,"2018-07-01","2018-07-01","Not POC","White"
"A Quiet Place","2018",7.5,413917,"Action","PG-13","John Krasinski","Emily Blunt",188024361,4386,50203562,"26.7",4386,"2018-10-01","2018-10-01","Not POC","White"
"Crazy Rich Asians","2018",6.9,145320,"Action","PG-13","Jon M. Chu","Constance Wu",174532921,4206,26510140,"15.2",4206,"2018-07-01","2018-07-01","Not POC","White"
"Mary Poppins Returns","2018",6.7,78349,"Action","PG","Rob Marshall","Emily Blunt",171958438,4206,23523121,"13.7",4206,"2018-11-01","2018-11-01","Not POC","White"
"Hotel Transylvania 3: Summer Vacation","2018",6.3,58998,"Action","PG","Genndy Tartakovsky","Adam Sandler",167510016,4000,44076225,"26.3",4000,"2018-11-01","2018-11-01","Not POC","White"
"Fantastic Beasts: The Crimes of Grindelwald","2018",6.6,227886,"Action","PG-13","David Yates","Eddie Redmayne",159555901,4000,62163104,"39",4000,"2018-04-01","2018-04-01","Not POC","White"
"Halloween","2018",6.5,122681,"Action","R","David Gordon Green","Jamie Lee Curtis",159342015,3904,76221545,"47.8",3904,"2018-10-01","2018-10-01","Not POC","White"
"Halloween","2018",6.5,122681,"Action","R","David Gordon Green","Jamie Lee Curtis",160000,320,0,"0",320,"2020-10-01","2020-10-01","Not POC","White"
"The Meg","2018",5.6,153167,"Action","PG-13","Jon Turteltaub","Jason Statham",145443742,3686,45402195,"31.2",3686,"2018-04-01","2018-04-01","Not POC","White"
"Ocean's Eight","2018",6.9,191073,"Action","PG-13","Gary Ross","Sandra Bullock",140218711,4381,41607378,"29.7",4381,"2018-05-01","2018-05-01","Not POC","White"
"Ready Player One","2018",7.4,375482,"Action","PG-13","Steven Spielberg","Tye Sheridan",137690172,4381,41764050,"30.3",4381,"2018-09-01","2018-09-01","Not POC","White"
"Bumblebee","2018",6.8,141860,"Action","PG-13","Travis Knight","Hailee Steinfeld",127195589,4250,21654047,"17",4250,"2018-10-01","2018-10-01","Not POC","White"
"Mamma Mia! Here We Go Again","2018",6.6,81864,"Action","PG-13","Ol Parker","Lily James",120634935,4250,34952180,"29",4250,"2018-01-01","2018-01-01","Not POC","White"
"The Nun","2018",5.3,120664,"Action","R","Corin Hardy","Demián Bichir",117450119,4017,53807379,"45.8",4017,"2018-11-01","2018-11-01","Not POC","White"
"The Nun","2018",5.3,120664,"Action","R","Corin Hardy","Demián Bichir",30245,649,6273,"20.7",649,"2019-04-01","2019-04-01","Not POC","White"
"Creed II","2018",7.1,107680,"Action","PG-13","Steven Caple Jr.","Michael B. Jordan",115715889,4017,35574710,"30.7",4017,"2018-04-01","2018-04-01","POC","Black"
"Peter Rabbit","2018",6.6,36069,"Action","PG","Will Gluck","James Corden",115253424,3813,25010928,"21.7",3813,"2018-12-01","2018-12-01","Not POC","White"
"The Mule","2018",7,116279,"Action","R","Clint Eastwood","Clint Eastwood",103804407,3813,17509431,"16.9",3813,"2018-04-01","2018-04-01","Not POC","White"
"The Equalizer 2","2018",6.7,136402,"Action","R","Antoine Fuqua","Denzel Washington",102084362,3808,36011640,"35.3",3808,"2018-04-01","2018-04-01","POC","Black"
"Rampage","2018",6.1,146556,"Action","PG-13","Brad Peyton","Dwayne Johnson",101028233,3508,35753093,"35.4",3508,"2018-08-01","2018-08-01","POC","Black"
"A Wrinkle in Time","2018",4.2,41660,"Action","PG","Ava DuVernay","Storm Reid",100478608,3865,33123609,"33",3865,"2018-08-01","2018-08-01","POC","Black"
"Fifty Shades Freed","2018",4.5,57018,"Action","R","James Foley","Dakota Johnson",100407760,3384,38560195,"38.4",3384,"2018-01-01","2018-01-01","Not POC","White"
"Christopher Robin","2018",7.3,69916,"Action","PG","Marc Forster","Ewan McGregor",99215042,4090,24585139,"24.8",4090,"2018-12-01","2018-12-01","Not POC","White"
"Green Book","2018",8.2,393477,"Action","PG-13","Peter Farrelly","Viggo Mortensen",85080171,4090,320429,"0.4",4090,"2018-04-01","2018-04-01","Not POC","White"
"I Can Only Imagine","2018",7.4,14554,"Action","PG","Andrew Erwin","Jon Erwin",83482352,4267,17108914,"20.5",4267,"2018-07-01","2018-07-01","Not POC","White"
"Smallfoot","2018",6.6,34791,"Action","PG","Karey Kirkpatrick","Jason Reisig",83240103,4267,23045635,"27.7",4267,"2018-11-01","2018-11-01","Not POC","White"
"Night School","2018",5.6,36672,"Action","PG-13","Malcolm D. Lee","Kevin Hart",4663,511,1588,"34.1",511,"2017-10-01","2017-10-01","POC","Black"
"Night School","2018",5.6,36672,"Action","PG-13","Malcolm D. Lee","Kevin Hart",77339130,4163,27257615,"35.2",4163,"2018-11-01","2018-11-01","POC","Black"
"The First Purge","2018",5.2,55964,"Action","R","Gerard McMurray","Y'lan Noel",69488745,4163,17374280,"25",4163,"2018-02-01","2018-02-01","Not POC","White"
"Game Night","2018",6.9,210386,"Action","R","John Francis Daley","Jonathan Goldstein",69179066,3990,17005332,"24.6",3990,"2018-10-01","2018-10-01","Not POC","White"
"Book Club","2018",6.1,25755,"Action","PG-13","Bill Holderman","Diane Keaton",68566296,3928,13582231,"19.8",3928,"2018-01-01","2018-01-01","Not POC","White"
"The House with a Clock in Its Walls","2018",6.1,46532,"Action","PG","Eli Roth","Jack Black",68549695,4118,26608020,"38.8",4118,"2018-08-01","2018-08-01","Not POC","White"
"Skyscraper","2018",5.8,108892,"Action","PG-13","Rawson Marshall Thurber","Dwayne Johnson",68420120,4118,24905015,"36.4",4118,"2018-11-01","2018-11-01","POC","Black"
"Insidious: The Last Key","2018",5.7,53365,"Action","PG-13","Adam Robitel","Lin Shaye",67745330,4145,29581355,"43.7",4145,"2018-06-01","2018-06-01","Not POC","White"
"Instant Family","2018",7.3,91935,"Action","PG-13","Sean Anders","Mark Wahlberg",67363237,4145,14504315,"21.5",4145,"2018-09-01","2018-09-01","Not POC","White"
"Blockers","2018",6.2,72342,"Action","R","Kay Cannon","Leslie Mann",60311495,4234,20556350,"34.1",4234,"2018-03-01","2018-03-01","Not POC","White"
"Pacific Rim: Uprising","2018",5.6,107572,"Action","PG-13","Steven S. DeKnight","John Boyega",59874525,4234,28116535,"47",4234,"2018-07-01","2018-07-01","Not POC","White"
"Tomb Raider","2018",6.3,192907,"Action","PG-13","Roar Uthaug","Alicia Vikander",58250803,3597,23633317,"40.6",3597,"2018-12-01","2018-12-01","Not POC","White"
"Maze Runner: The Death Cure","2018",6.3,116044,"Action","PG-13","Wes Ball","Dylan O'Brien",58032443,3550,24167011,"41.6",3550,"2018-03-01","2018-03-01","Not POC","White"
"The Nutcracker and the Four Realms","2018",5.6,29855,"Adventure","PG","Lasse Hallström","Joe Johnston",54858851,3514,20352491,"37.1",3514,"2018-07-01","2018-07-01","Not POC","White"
"Tag","2018",6.5,117587,"Adventure","R","Jeff Tomsic","Jeremy Renner",54730625,3317,14947396,"27.3",3317,"2018-10-01","2018-10-01","Not POC","White"
"A Simple Favor","2018",6.8,131701,"Adventure","R","Paul Feig","Anna Kendrick",53548586,3876,16011689,"29.9",3876,"2018-09-01","2018-09-01","Not POC","White"
"Life of the Party","2018",5.6,34235,"Adventure","PG-13","Ben Falcone","Melissa McCarthy",53059911,3876,17886075,"33.7",3876,"2018-11-01","2018-11-01","Not POC","White"
"The Predator","2018",5.3,117551,"Adventure","R","Shane Black","Boyd Holbrook",51024708,3752,24632284,"48.3",3752,"2018-11-01","2018-11-01","Not POC","White"
"Overboard","2018",6,34898,"Adventure","PG-13","Rob Greenberg","Eugenio Derbez",50316123,3441,14711101,"29.2",3441,"2018-03-01","2018-03-01","POC","Hispanic"
"Sicario: Day of the Soldado","2018",7.1,127755,"Adventure","R","Stefano Sollima","Benicio Del Toro",50072235,3725,19007566,"38",3725,"2018-02-01","2018-02-01","POC","Hispanic"
"BlacKkKlansman","2018",7.5,228481,"Adventure","R","Spike Lee","John David Washington",49275340,3725,10845330,"22",3725,"2018-06-01","2018-06-01","Not POC","White"
"I Feel Pretty","2018",5.5,49971,"Adventure","PG-13","Abby Kohn","Marc Silverstein",48795601,3329,16030218,"32.9",3329,"2018-12-01","2018-12-01","Not POC","White"
"Vice","2018",7.2,125987,"Adventure","R","Adam McKay","Christian Bale",47836282,2588,7768371,"16.2",2588,"2018-03-01","2018-03-01","Not POC","White"
"Red Sparrow","2018",6.6,169121,"Adventure","R","Francis Lawrence","Jennifer Lawrence",46874505,3388,16853422,"36",3388,"2018-07-01","2018-07-01","Not POC","White"
"Goosebumps 2: Haunted Halloween","2018",5.6,18267,"Adventure","PG","Ari Sandel","Wendi McLendon-Covey",46700633,4115,15802225,"33.8",4115,"2018-04-01","2018-04-01","Not POC","White"
"Breaking In","2018",5.5,14508,"Adventure","PG-13","James McTeigue","Gabrielle Union",46840590,3388,17630285,"37.6",3388,"2018-09-01","2018-09-01","POC","Black"
"12 Strong","2018",6.6,69233,"Adventure","R","Nicolai Fuglsig","Chris Hemsworth",45819713,4101,15815025,"34.5",4101,"2018-07-01","2018-07-01","Not POC","White"
"Den of Thieves","2018",7,95566,"Adventure","R","Christian Gudegast","Gerard Butler",44947622,3980,15206108,"33.8",3980,"2018-03-01","2018-03-01","Not POC","White"
"First Man","2018",7.3,171697,"Adventure","PG-13","Damien Chazelle","Ryan Gosling",44936545,3980,16006065,"35.6",3980,"2018-07-01","2018-07-01","Not POC","White"
"Hereditary","2018",7.3,247205,"Adventure","R","Ari Aster","Toni Collette",44069456,3768,13575172,"30.8",3768,"2018-02-01","2018-02-01","Not POC","White"
"Acrimony","2018",5.8,8014,"Adventure","R","Tyler Perry","Taraji P. Henson",43549096,3768,17170707,"39.4",3768,"2018-04-01","2018-04-01","POC","Black"
"Sherlock Gnomes","2018",5.2,10666,"Adventure","PG","John Stevenson","Johnny Depp",43242871,3602,10604774,"24.5",3602,"2018-08-01","2018-08-01","Not POC","White"
"Uncle Drew","2018",5.8,12354,"Adventure","PG-13","Charles Stone III","Kyrie Irving",42469946,3602,15242781,"35.9",3602,"2018-11-01","2018-11-01","Not POC","White"
"Widows","2018",6.9,88802,"Adventure","R","Steve McQueen","Viola Davis",42402632,2648,12361307,"29.2",2648,"2018-11-01","2018-11-01","POC","Black"
"Truth or Dare","2018",5.2,48966,"Adventure","PG-13","Jeff Wadlow","Lucy Hale",41411015,25,18667855,"45.1",25,"2018-05-01","2018-05-01","Not POC","White"
"Love, Simon","2018",7.6,100168,"Adventure","PG-13","Greg Berlanti","Nick Robinson",40826341,1629,11756244,"28.8",1629,"2018-07-01","2018-07-01","Not POC","White"
"Second Act","2018",5.8,23174,"Adventure","PG-13","Peter Segal","Jennifer Lopez",39282227,4131,6489983,"16.5",4131,"2018-09-01","2018-09-01","POC","Hispanic"
"The Commuter","2018",6.3,104988,"Adventure","PG-13","Jaume Collet-Serra","Liam Neeson",36343858,4131,13701452,"37.7",4131,"2018-01-01","2018-01-01","Not POC","White"
"The 15:17 to Paris","2018",5.3,29741,"Adventure","PG-13","Clint Eastwood","Alek Skarlatos",36276286,3019,12554286,"34.6",3019,"2018-09-01","2018-09-01","Not POC","White"
"Mile 22","2018",6.1,69338,"Adventure","R","Peter Berg","Mark Wahlberg",36108758,3010,13710825,"38",3010,"2018-01-01","2018-01-01","Not POC","White"
"Alpha","2018",6.7,55988,"Adventure","PG-13","Albert Hughes","Kodi Smit-McPhee",35857181,3038,10352512,"28.9",3038,"2018-07-01","2018-07-01","Not POC","White"
"Peppermint","2018",6.5,58027,"Adventure","R","Pierre Morel","Jennifer Garner",35418723,3031,13423255,"37.9",3031,"2018-09-01","2018-09-01","Not POC","White"
"The Favourite","2018",7.5,176105,"Adventure","R","Yorgos Lanthimos","Olivia Colman",34366783,3502,422410,"1.2",3502,"2018-02-01","2018-02-01","Not POC","White"
"Death Wish","2018",6.4,64765,"Adventure","R","Eli Roth","Bruce Willis",34017028,3488,13010267,"38.2",3488,"2018-06-01","2018-06-01","Not POC","White"
"The Spy Who Dumped Me","2018",6,69964,"Adventure","R","Susanna Fogel","Justin Theroux",33562069,3169,12103043,"36.1",3169,"2018-05-01","2018-05-01","Not POC","White"
"Annihilation","2018",6.8,284661,"Adventure","R","Alex Garland","Natalie Portman",32732301,2781,11071584,"33.8",2781,"2018-08-01","2018-08-01","Not POC","White"
"Isle of Dogs","2018",7.9,142352,"Adventure","PG-13","Wes Anderson","Bryan Cranston",32015231,3592,1620294,"5.1",3592,"2018-09-01","2018-09-01","Not POC","White"
"Nobody's Fool","2018",4.9,6762,"Adventure","R","Tyler Perry","Tiffany Haddish",31713110,3592,13743111,"43.3",3592,"2018-01-01","2018-01-01","POC","Black"
"Adrift","2018",6.6,48672,"Adventure","PG-13","Baltasar Kormákur","Shailene Woodley",31445012,3822,11603039,"36.9",3822,"2018-07-01","2018-07-01","Not POC","White"
"Robin Hood","2018",5.3,65892,"Adventure","PG-13","Otto Bathurst","Taron Egerton",30824628,3782,9195670,"29.8",3782,"2018-09-01","2018-09-01","Not POC","White"
"Dragon Ball Super: Broly","2018",7.9,23125,"Adventure","PG","Tatsuya Nagamine","Masako Nozawa",30712119,3468,9816197,"32",3468,"2019-01-01","2019-01-01","Not POC","White"
"Super Troopers 2","2018",6.1,24161,"Adventure","R","Jay Chandrasekhar","Jay Chandrasekhar",30617396,3150,15181624,"49.6",3150,"2018-01-01","2018-01-01","Not POC","White"
"Holmes & Watson","2018",3.9,32217,"Adventure","PG-13","Etan Cohen","Will Ferrell",30573626,3116,7411522,"24.2",3116,"2018-03-01","2018-03-01","Not POC","White"
"Slender Man","2018",3.2,29351,"Adventure","PG-13","Sylvain White","Joey King",30569484,3426,11371866,"37.2",3426,"2018-11-01","2018-11-01","Not POC","White"
"The Hate U Give","2018",7.5,31612,"Adventure","PG-13","George Tillman Jr.","Amandla Stenberg",29719483,3418,512035,"1.7",3418,"2018-04-01","2018-04-01","POC","Black"
"Teen Titans GO! To the Movies","2018",6.8,16844,"Adventure","PG","Aaron Horvath","Peter Rida Michail",29790236,3286,10411189,"34.9",3286,"2018-01-01","2018-01-01","Not POC","White"
"In Like Flynn","2018",5.2,945,"Adventure","R","Russell Mulcahy","Thomas Cocquerel",11255,17,6646,"59",17,"2019-08-01","2019-08-01","Not POC","White"
"Searching","2018",7.6,143310,"Adventure","PG-13","Aneesh Chaganty","John Cho",26020957,3379,388769,"1.5",3379,"2018-08-01","2018-08-01","POC","Asian"
"Winchester","2018",5.5,31004,"Adventure","PG-13","Michael Spierig","Peter Spierig",25091816,3708,9307626,"37.1",3708,"2018-03-01","2018-03-01","Not POC","White"
"On the Basis of Sex","2018",7.1,29298,"Adventure","PG-13","Mimi Leder","Felicity Jones",24622687,3708,686355,"2.8",3708,"2018-07-01","2018-07-01","Not POC","White"
"On the Basis of Sex","2018",7.1,29298,"Adventure","PG-13","Mimi Leder","Felicity Jones",82150,44,56210,"68.4",44,"","","Not POC","White"
"The Strangers: Prey at Night","2018",5.2,27461,"Adventure","R","Johannes Roberts","Christina Hendricks",24586708,3854,10402271,"42.3",3854,"2018-03-01","2018-03-01","Not POC","White"
"White Boy Rick","2018",6.5,30816,"Adventure","R","Yann Demange","Matthew McConaughey",24011188,3854,8860431,"36.9",3854,"2018-05-01","2018-05-01","Not POC","White"
"Won't You Be My Neighbor?","2018",8.4,23503,"Adventure","PG-13","Morgan Neville","Fred Rogers",22835787,3793,475419,"2.1",3793,"2018-01-01","2018-01-01","Not POC","White"
"Overlord","2018",6.6,87733,"Action","R","Julius Avery","Jovan Adepo",21704844,3787,10202108,"47",3787,"2018-05-01","2018-05-01","Not POC","White"
"Proud Mary","2018",5,9014,"Action","R","Babak Najafi","Taraji P. Henson",20877013,3766,9959053,"47.7",3766,"2018-11-01","2018-11-01","POC","Black"
"The Happytime Murders","2018",5.4,25096,"Action","R","Brian Henson","Melissa McCarthy",20706452,3766,9532425,"46",3766,"2018-01-01","2018-01-01","Not POC","White"
"SuperFly","2018",5.2,6316,"Action","R","Director X.","Trevor Jackson",20545116,3382,6870740,"33.4",3382,"2018-06-01","2018-06-01","Not POC","White"
"They Shall Not Grow Old","2018",8.3,30037,"Action","R","Peter Jackson","Thomas Adlam",17956913,3382,0,"0",3382,"2018-09-01","2018-09-01","Not POC","White"
"Bad Times at the El Royale","2018",7.1,131261,"Action","R","Drew Goddard","Jeff Bridges",17839115,3102,7132647,"40",3102,"2018-11-01","2018-11-01","Not POC","White"
"Show Dogs","2018",3.8,4230,"Action","PG","Raja Gosnell","Will Arnett",17857020,3102,6023972,"33.7",3102,"2018-09-01","2018-09-01","Not POC","White"
"Operation Finale","2018",6.6,34577,"Action","PG-13","Chris Weitz","Oscar Isaac",17612099,3656,6022758,"34.2",3656,"2018-05-01","2018-05-01","POC","Hispanic"
"Paul, Apostle of Christ","2018",6.7,7462,"Action","PG-13","Andrew Hyatt","Jim Caviezel",17560475,3656,5172585,"29.5",3656,"2018-08-01","2018-08-01","Not POC","White"
"Free Solo","2018",8.2,55898,"Action","PG-13","Jimmy Chin","Elizabeth Chai Vasarhelyi",17541090,4070,294288,"1.7",4070,"2018-09-01","2018-09-01","Not POC","White"
"Summer '03","2018",5.5,2755,"Action","Not Rated","Becca Gleason","Joey King",11746,1,4174,"35.5",1,"2018-06-01","2018-06-01","Not POC","White"
"Sorry to Bother You","2018",6.9,66058,"Action","R","Boots Riley","LaKeith Stanfield",17493096,4037,727266,"4.2",4037,"2018-11-01","2018-11-01","Not POC","White"
"Mary Queen of Scots","2018",6.3,43310,"Action","R","Josie Rourke","Saoirse Ronan",16468499,1623,194777,"1.2",1623,"2018-07-01","2018-07-01","Not POC","White"
"Forever My Girl","2018",6.7,15012,"Action","PG","Bethany Ashton Wolf","Alex Roe",16376066,3055,4245630,"25.9",3055,"2018-06-01","2018-06-01","Not POC","White"
"Mortal Engines","2018",6.1,112055,"Action","PG-13","Christian Rivers","Hera Hilmar",15951040,3055,7559850,"47.4",3055,"2018-09-01","2018-09-01","Not POC","White"
"Hunter Killer","2018",6.6,55737,"Action","R","Donovan Marsh","Gerard Butler",15767460,1914,6653777,"42.2",1914,"2018-08-01","2018-08-01","Not POC","White"
"If Beale Street Could Talk","2018",7.1,43447,"Action","R","Barry Jenkins","KiKi Layne",14915773,1512,224476,"1.5",1512,"2018-03-01","2018-03-01","Not POC","White"
"The Girl in the Spider's Web","2018",6.1,42570,"Action","R","Fede Alvarez","Claire Foy",14841338,3440,7810112,"52.6",3440,"2018-04-01","2018-04-01","Not POC","White"
"The Possession of Hannah Grace","2018",5.2,19749,"Action","R","Diederik Van Rooijen","Shay Mitchell",14837422,3440,6401744,"43.1",3440,"2018-06-01","2018-06-01","POC","Asian"
"RBG","2018",7.6,12874,"Action","PG","Julie Cohen","Betsy West",14017361,2534,578470,"4.1",2534,"2018-12-01","2018-12-01","Not POC","White"
"RBG","2018",7.6,12874,"Action","PG","Julie Cohen","Betsy West",34000,30,34000,"0",30,"","","Not POC","White"
"Eighth Grade","2018",7.4,64430,"Action","R","Bo Burnham","Elsie Fisher",13539709,2442,263797,"1.9",2442,"2018-04-01","2018-04-01","Not POC","White"
"The Darkest Minds","2018",5.7,28620,"Action","PG-13","Jennifer Yuh Nelson","Amandla Stenberg",12695691,3064,5842609,"46",3064,"2018-03-01","2018-03-01","POC","Black"
"Three Identical Strangers","2018",7.6,29246,"Action","PG-13","Tim Wardle","Robert Shafran",12320845,3056,171503,"1.4",3056,"2018-06-01","2018-06-01","Not POC","White"
"Upgrade","2018",7.5,162677,"Action","R","Leigh Whannell","Logan Marshall-Green",11977130,2537,4670905,"39",2537,"2018-05-01","2018-05-01","Not POC","White"
"Padmaavat","2018",7,27914,"Action","Not Rated","Sanjay Leela Bhansali","Deepika Padukone",11846060,2537,4493384,"37.9",2537,"2018-08-01","2018-08-01","Not POC","White"
"The Old Man & the Gun","2018",6.7,41100,"Action","PG-13","David Lowery","Robert Redford",11277120,3723,142131,"1.3",3723,"2018-10-01","2018-10-01","Not POC","White"
"Hell Fest","2018",5.5,14447,"Action","R","Gregory Plotkin","Cynthea Mercado",11107431,3521,5130963,"46.2",3521,"2018-12-01","2018-12-01","Not POC","White"
"Welcome to Marwen","2018",6.2,20695,"Action","PG-13","Robert Zemeckis","Steve Carell",10763520,3018,2354205,"21.9",3018,"2018-01-01","2018-01-01","Not POC","White"
"Greta","2018",6,27470,"Action","R","Neil Jordan","Isabelle Huppert",10532219,2808,4481910,"42.6",2808,"2019-07-01","2019-07-01","Not POC","White"
"The Miracle Season","2018",6.5,4732,"Action","PG","Sean McNamara","Helen Hunt",10230620,3002,3950652,"38.6",3002,"2018-03-01","2018-03-01","Not POC","White"
"Hotel Mumbai","2018",7.6,54716,"Action","R","Anthony Maras","Dev Patel",9651611,3838,88065,"0.9",3838,"2019-03-01","2019-03-01","Not POC","White"
"Midnight Sun","2018",6.6,24734,"Action","PG-13","Scott Speer","Bella Thorne",9561064,2432,4003993,"41.9",2432,"2018-03-01","2018-03-01","POC","Hispanic"
"Tully","2018",7,53663,"Action","R","Jason Reitman","Charlize Theron",9369755,3640,3282610,"35",3640,"2018-10-01","2018-10-01","Not POC","White"
"Traffik","2018",6,18788,"Action","R","Deon Taylor","Priscilla Quintana",9186156,3640,3941338,"42.9",3640,"2018-01-01","2018-01-01","Not POC","White"
"Can You Ever Forgive Me?","2018",7.1,47628,"Action","R","Marielle Heller","Melissa McCarthy",8803865,2964,161510,"1.8",2964,"2018-08-01","2018-08-01","Not POC","White"
"Unfriended: Dark Web","2018",6,27833,"Action","R","Stephen Susco","Colin Woodell",8866745,2998,3653035,"41.2",2998,"2018-06-01","2018-06-01","Not POC","White"
"Early Man","2018",6.1,20156,"Action","PG","Nick Park","Eddie Redmayne",8267544,2006,3190525,"38.6",2006,"2018-03-01","2018-03-01","Not POC","White"
"Higher Power","2018",4.8,2291,"Action","R","Matthew Charles Santoro","Colm Feore",528,221,299,"56.6",221,"2018-07-01","2018-07-01","Not POC","White"
"Sanju","2018",7.7,48014,"Action","TV-MA","Rajkumar Hirani","Ranbir Kapoor",7909317,3662,2723349,"34.4",3662,"2018-03-01","2018-03-01","Not POC","White"
"Unsane","2018",6.4,41369,"Action","R","Steven Soderbergh","Claire Foy",7732899,3662,3762145,"48.7",3662,"2018-06-01","2018-06-01","Not POC","White"
"We Have Always Lived in the Castle","2018",5.6,5544,"Action","Not Rated","Stacie Passon","Taissa Farmiga",NA,NA,NA,NA,NA,NA,NA,"Not POC","White"
"Beautiful Boy","2018",7.3,56287,"Action","R","Felix van Groeningen","Steve Carell",7649973,2742,218888,"2.9",2742,"2018-06-01","2018-06-01","Not POC","White"
"Mid90s","2018",7.4,51313,"Action","R","Jonah Hill","Sunny Suljic",7362439,2803,258157,"3.5",2803,"2018-11-01","2018-11-01","Not POC","White"
"The Little Mermaid","2018",4.2,8306,"Action","PG","Blake Harris","Chris Bouchard",147175,75,85505,"58.1",75,"2018-11-01","2018-11-01","Not POC","White"
"Dog Days","2018",6.2,4251,"Action","PG","Ken Marino","Nina Dobrev",6809080,2803,2554766,"37.5",2803,"2018-02-01","2018-02-01","Not POC","White"
"Boy Erased","2018",6.9,33397,"Action","R","Joel Edgerton","Lucas Hedges",6788692,3068,207057,"3.1",3068,"2018-04-01","2018-04-01","Not POC","White"
"Hotel Artemis","2018",6.1,47555,"Action","R","Drew Pearce","Jodie Foster",6708147,3029,3232790,"48.2",3029,"2018-07-01","2018-07-01","Not POC","White"
"A-X-L","2018",5.3,10665,"Action","PG","Oliver Daly","Alex Neustaedter",6501381,3702,2798229,"43",3702,"2018-01-01","2018-01-01","Not POC","White"
"Run the Race","2018",6,1313,"Action","PG","Chris Dowling","Tanner Stine",6424420,3090,2161480,"33.6",3090,"2019-03-01","2019-03-01","Not POC","White"
"Fahrenheit 11/9","2018",7,18232,"Action","R","Michael Moore","Jim Acosta",6352306,3702,3008563,"47.4",3702,"2018-03-01","2018-03-01","Not POC","White"
"Unbroken: Path to Redemption","2018",5.8,2598,"Biography","PG-13","Harold Cronk","Samuel Hunt",6216897,2434,2238723,"36",2434,"2018-03-01","2018-03-01","Not POC","White"
"Master Z: The Ip Man Legacy","2018",6.5,7166,"Biography","Not Rated","Woo-Ping Yuen","Jin Zhang",209454,605,92663,"44.2",605,"2019-05-01","2019-05-01","Not POC","White"
"The Hurricane Heist","2018",5.1,19263,"Biography","PG-13","Rob Cohen","Toby Kebbell",6115825,2402,3024399,"49.5",2402,"2018-06-01","2018-06-01","Not POC","White"
"Every Day","2018",6.4,18897,"Biography","PG-13","Michael Sucsy","Angourie Rice",6102076,2607,3016149,"49.4",2607,"2018-12-01","2018-12-01","Not POC","White"
"Leave No Trace","2018",7.2,52035,"Biography","PG","Debra Granik","Thomasin McKenzie",6046104,2892,219140,"3.6",2892,"2018-01-01","2018-01-01","Not POC","White"
"Death of a Nation","2018",4.6,6474,"Biography","PG-13","Dinesh D'Souza","Bruce Schooley",5885881,2892,2356522,"40",2892,"2018-03-01","2018-03-01","Not POC","White"
"My Hero Academia: Two Heroes","2018",7.5,7030,"Biography","PG-13","Kenji Nagasaki","Daiki Yamashita",5754556,3042,1388499,"24.1",3042,"2018-02-01","2018-02-01","Not POC","White"
"God's Not Dead: A Light in Darkness","2018",4.5,3425,"Biography","PG","Michael Mason","Megan Alexander",5728940,3042,2689677,"46.9",3042,"2018-04-01","2018-04-01","Not POC","White"
"Kin","2018",5.8,15031,"Biography","PG-13","Jonathan Baker","Josh Baker",5718096,3520,3035618,"53.1",3520,"2018-08-01","2018-08-01","Not POC","White"
"Gloria Bell","2018",6.3,9666,"Biography","R","Sebastián Lelio","Julianne Moore",5611123,2913,145218,"2.6",2913,"2019-04-01","2019-04-01","Not POC","White"
"2.0","2018",6.2,21349,"Biography","Not Rated","S. Shankar","Rajinikanth",4152000,27,2775000,"0",27,"2018-08-01","2018-08-01","Not POC","White"
"Stan & Ollie","2018",7.2,33500,"Biography","PG","Jon S. Baird","Steve Coogan",5470235,3520,78104,"1.4",3520,"2018-10-01","2018-10-01","Not POC","White"
"Colette","2018",6.7,20080,"Biography","R","Wash Westmoreland","Keira Knightley",5137622,2881,161179,"3.1",2881,"2018-08-01","2018-08-01","Not POC","White"
"Simmba","2018",5.7,14990,"Biography","Not Rated","Rohit Shetty","Sam Nagar",5102129,2719,1758576,"34.5",2719,"2018-11-01","2018-11-01","Not POC","White"
"Action Point","2018",5.1,10274,"Biography","R","Tim Kirkby","Johnny Knoxville",5059608,2980,2390164,"47.2",2980,"2018-09-01","2018-09-01","Not POC","White"
