titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
National Lampoon's Christmas Vacation,871000,1222,170000,0,1222,2020-12-01,2020-12-01
Cut Throat City,855894,1107,243379,28.4,1107,,
The Goonies,825000,1448,213000,0,1448,2020-12-01,2020-12-01
Sarileru Neekevvaru,821000,1310,821000,0,1310,,
Vanguard,793525,3028,380428,47.9,3028,2020-03-01,2020-03-01
Color Out of Space,765561,3028,216162,28.2,3028,,
Jaws,758300,3049,516300,0,3049,2020-01-01,2020-01-01
Possessor,752885,3049,252664,33.6,3049,2020-02-01,2020-02-01
Toy Story,727000,2570,505000,0,2570,2020-10-01,2020-10-01
"Monsters, Inc.",726000,2570,494000,0,2570,,
Baaghi 3,721439,326,509616,70.6,326,2020-08-01,2020-08-01
The Polar Express,711000,300,155000,0,300,,
The Santa Clause,706000,2221,461000,0,2221,2020-09-01,2020-09-01
Patterns of Evidence: The Red Sea Miracle,696191,2209,0,0,2209,,
The Last Vermeer,685380,1885,225691,32.9,1885,2020-09-01,2020-09-01
The Addams Family,678926,1724,282841,41.7,1724,,
Synchronic,636673,1007,245561,38.6,1007,2020-08-01,2020-08-01
Ghostbusters,605000,1007,500000,0,1007,,
Chhapaak,604334,536,316781,52.4,536,2020-01-01,2020-01-01
Shortcut,588869,465,243508,41.4,465,,
Panga,582720,2051,285689,49,2051,2020-10-01,2020-10-01
Guardians of the Galaxy,542000,2027,406000,0,2027,,
Followed,538179,350,152825,0,350,2020-02-01,2020-02-01
Alone,537589,350,182473,33.9,350,,
Kajillionaire,531430,617,215675,40.6,617,2020-01-01,2020-01-01
The Call,516521,614,138237,26.8,614,,
The Big Ugly,514107,1395,152598,29.7,1395,2020-08-01,2020-08-01
100% Wolf,512805,924,0,0,924,,
The Forgotten Carols,502252,2097,104798,20.9,2097,2020-07-01,2020-07-01
Spell,500104,611,206591,41.3,611,,
Ava,497747,546,170349,34.2,546,2020-10-01,2020-10-01
The Grinch,473781,460,82000,0,460,,
Beauty and the Beast,467000,2194,467000,0,2194,2020-10-01,2020-10-01
Inside Out,460000,2194,340000,0,2194,,
Once Were Brothers: Robbie Robertson and the Band,449561,1386,37828,8.4,1386,2020-12-01,2020-12-01
Chal Mera Putt 2,445000,1369,0,0,1369,,
CatVideoFest 2020,437625,395,217927,49.8,395,2020-02-01,2020-02-01
Seberg,434702,6,47180,10.9,6,,
Iron Man,430000,850,430000,0,850,2020-11-01,2020-11-01
Infamous,429148,300,160371,37.4,300,,
How the Grinch Stole Christmas,420180,1550,0,0,1550,2020-08-01,2020-08-01
Tulsa,413378,1360,78393,19,1360,,
Stevie Nicks 24 Karat Gold the Concert,410265,824,243509,59.4,824,2020-12-01,2020-12-01
Buddy Games,405904,786,150497,37.1,786,,
She Dies Tomorrow,398663,101,84659,21.2,101,2020-05-01,2020-05-01
The Eight Hundred,372755,12,118161,31.7,12,,
Yellow Rose,367849,250,150330,40.9,250,2020-07-01,2020-07-01
Black Panther,367000,250,367000,0,250,,
The Kid Detective,364138,316,140218,38.5,316,2020-06-01,2020-06-01
Greed,355308,230,24163,6.8,230,,
Ride Your Wave,332432,1683,19643,5.9,1683,2020-10-01,2020-10-01
Les Misérables,330181,1683,24154,7.3,1683,,
Die Hard,325000,151,189000,0,151,2020-08-01,2020-08-01
Ordinary Love,323688,48,23564,7.3,48,,
Save Yourselves!,301162,281,142694,47.4,281,2020-11-01,2020-11-01
The Informer,300460,247,133475,44.4,247,,
The Traitor,296027,25,23240,7.9,25,2020-01-01,2020-01-01
Gremlins,295000,4,140000,0,4,,
Mystify: Michael Hutchence,289573,387,0,0,387,2020-10-01,2020-10-01
Created Equal: Clarence Thomas in His Own Words,282149,387,74577,26.4,387,,
Fatman,278378,133,108305,38.9,133,2020-07-01,2020-07-01
An American in Paris,267824,69,182606,68.2,69,,
Heaven,259323,138,49130,18.9,138,2020-08-01,2020-08-01
Wonder Woman,252000,129,189000,0,129,,
Back to the Future,247000,886,107000,0,886,2020-09-01,2020-09-01
Bohemian Rhapsody,240000,871,240000,0,871,,
Tokyo Godfathers,237571,54,5800,2.4,54,2020-06-01,2020-06-01
Blind Eyes Opened,234505,45,0,0,45,,
The Climb,234429,970,97639,41.6,970,2020-12-01,2020-12-01
Doctor Who Live Q&A And Screening,228615,970,228615,100,970,,
Frozen,215000,85,120000,0,85,2020-02-01,2020-02-01
Jiang Ziya,214670,85,0,0,85,,
Wild Mountain Thyme,213440,620,95360,44.7,620,2020-11-01,2020-11-01
The Secrets We Keep,207928,308,88306,42.5,308,,
Gekijouban Fate/Stay Night: Heaven's Feel - III. Spring Song,200000,389,200000,0,389,2020-08-01,2020-08-01
National Theater Live: Cyrano de Bergerac,198352,389,0,0,389,,
Always and Forever,197464,457,12361,6.3,457,2020-07-01,2020-07-01
Beanpole,196258,134,10008,5.1,134,,
The Doors: Break On Thru - A Celebration Of Ray Manzarek,190160,300,4312,2.3,300,2020-01-01,2020-01-01
The Wolf of Snow Hollow,185026,300,91943,49.7,300,,
Come Away,184477,1375,106084,57.5,1375,2020-11-01,2020-11-01
And Then We Danced,177262,1375,13880,7.8,1375,,
No Escape,167962,81,79182,47.1,81,2020-01-01,2020-01-01
Extra Ordinary,164346,81,82543,50.2,81,,
Palm Springs,164000,187,164000,0,187,2020-06-01,2020-06-01
Ammonite,160930,187,87552,54.4,187,,
Halloween,160000,320,0,0,320,2020-10-01,2020-10-01
A Call to Spy,159014,320,35098,22.1,320,,
The Dark and the Wicked,157252,2102,60379,38.4,2102,2020-11-01,2020-11-01
Love Story,153504,2102,87198,56.8,2102,,
The Burnt Orange Heresy,144201,1875,16163,11.2,1875,2020-10-01,2020-10-01
Wendy,143518,1875,26214,18.3,1875,,
Incitement,140306,265,22437,16,265,2020-03-01,2020-03-01
Archive,139593,265,52642,37.7,265,,
Burden,139270,450,20160,14.5,450,2020-12-01,2020-12-01
Most Wanted,138000,0,0,0,0,,
The Nest,137886,1581,65540,47.5,1581,2020-11-01,2020-11-01
Beneath Us,137260,1581,137260,100,1581,,
Lupin III: The First,136368,807,83295,61.1,807,2020-02-01,2020-02-01
The Times of Bill Cunningham,134288,0,41945,31.2,0,,
Corpus Christi,127240,912,4632,3.6,912,2020-11-01,2020-11-01
"14 Days, 12 Nights",122530,912,71802,58.6,912,,
Archenemy,121642,1307,53678,44.1,1307,2020-10-01,2020-10-01
The Man Standing Next,113527,1307,16514,14.5,1307,,
Hope Gap,104732,327,30978,29.6,327,2020-10-01,2020-10-01
Lucky Grandma,102000,327,0,0,327,,
Grease,102000,622,102000,0,622,2020-07-01,2020-07-01
Made in Italy,101339,622,33998,33.5,622,,
First Cow,101068,100,81323,80.5,100,2020-01-01,2020-01-01
The Silencing,100746,100,53205,52.8,100,2020-01-01,2020-01-01
The Muppet Christmas Carol,100000,704,92000,0,704,2020-09-01,2020-09-01
Come to Daddy,96713,704,57998,60,704,,
The Godfather: Part III,95330,102,54602,57.3,102,2020-01-01,2020-01-01
First Lady,93298,102,56747,60.8,102,2020-02-01,2020-02-01
Tesla,93147,1560,42165,45.3,1560,2020-11-01,2020-11-01
Miss Juneteenth,92349,1560,20946,22.7,1560,,
Leap,83074,100,31174,37.5,100,2020-06-01,2020-06-01
On the Basis of Sex,82150,44,56210,68.4,44,,
Riverdance 25th Anniversary Show,81879,173,79862,97.5,173,2020-09-01,2020-09-01
StarDog and TurboCat,80490,169,31305,38.9,169,,
Pray: The Story of Patrick Peyton,72347,547,24397,33.7,547,2020-09-01,2020-09-01
Come and See,71909,529,16053,22.3,529,,
How to Build a Girl,70632,195,13201,18.7,195,2020-10-01,2020-10-01
We Summon the Darkness,60794,195,0,0,195,,
My Brothers' Crossing,59395,68,19386,32.6,68,2020-07-01,2020-07-01
Summerland,58498,68,28881,49.4,68,,
Bacurau,58115,124,14691,25.3,124,2020-10-01,2020-10-01
The Dissident,57000,0,25000,0,0,,
The Whistlers,55608,70,20458,36.8,70,2020-11-01,2020-11-01
A Simple Wedding,54415,59,21794,40.1,59,,
Samsam,53273,369,0,0,369,2020-10-01,2020-10-01
Miss Fisher & the Crypt of Tears,51032,369,51032,100,369,,
The Wonderland,50876,252,1320,2.6,252,2020-09-01,2020-09-01
Henchmen,49676,222,30223,60.8,222,,
The Way I See It,49030,450,25150,51.3,450,2020-11-01,2020-11-01
VHYes,47037,0,0,0,0,,
Enter the Fat Dragon,46855,527,22193,47.4,527,2020-07-01,2020-07-01
Solo Brathuke So Better,45000,527,35000,0,527,,
Saint Frances,44330,442,14298,32.3,442,2020-07-01,2020-07-01
It's a Wonderful Life,44000,442,44000,0,442,,
Sometimes Always Never,39191,152,2599,6.6,152,2020-02-01,2020-02-01
Three Christs,36723,4,0,0,4,,
Tread,36527,0,10585,29,0,2020-03-01,2020-03-01
A Christmas Story,35000,0,35000,0,0,,
Juvenile Delinquents,34292,84,1890,5.5,84,2020-02-01,2020-02-01
RBG,34000,30,34000,0,30,,
True History of the Kelly Gang,33817,373,9839,29.1,373,2020-02-01,2020-02-01
Swallow,33419,3,12850,38.5,3,,
Hunter Hunter,32705,462,12010,36.7,462,2020-07-01,2020-07-01
Nick Mason's Saucerful of Secrets: Live at the Roundhouse,32444,462,0,0,462,,
Embattled,32259,58,15141,46.9,58,2020-06-01,2020-06-01
Max Winslow and the House of Secrets,31250,58,425,1.4,58,,
Rent-A-Pal,30901,300,19650,63.6,300,2020-12-01,2020-12-01
After Parkland,30444,0,0,0,0,,
Olympic Dreams,29450,192,9290,31.5,192,2020-08-01,2020-08-01
Buffaloed,29118,191,13796,47.4,191,,
Spree,28771,413,20480,71.2,413,2020-10-01,2020-10-01
Sorry We Missed You,28273,413,9436,33.4,413,,
Cane River,27317,401,0,0,401,2020-11-01,2020-11-01
José,26563,401,11191,42.1,401,,
Zombi Child,25878,24,6051,23.4,24,2020-07-01,2020-07-01
The Booksellers,25694,24,15794,61.5,24,,
Unsubscribe,25488,142,0,0,142,2020-08-01,2020-08-01
Disappearance at Clifton Hill,25084,142,2477,9.9,142,,
Heart of Africa,24139,900,19697,81.6,900,2020-10-01,2020-10-01
The Violent Heart,23614,900,0,0,900,,
"Phoenix, Oregon",23613,421,3842,16.3,421,2020-07-01,2020-07-01
Premature,23071,421,9909,43,421,,
L'Innocente,22549,865,7191,31.9,865,2020-10-01,2020-10-01
Tar,22307,865,1469,6.6,865,,
Young Ahmed,21291,596,4216,19.8,596,2020-02-01,2020-02-01
The Cordillera of Dreams,20943,4,4446,21.2,4,,
She Is the Ocean,20211,605,8017,39.7,605,2020-02-01,2020-02-01
Lore,20006,12,7084,35.4,12,,
Foster Boy,19873,69,5324,26.8,69,2020-01-01,2020-01-01
Mandy,19169,4,19169,0,4,,
Sputnik,18853,1172,11024,58.5,1172,2020-12-01,2020-12-01
The Rescue,18797,1172,9674,51.5,1172,,
Shithouse,18370,22,5545,30.2,22,2020-02-01,2020-02-01
The Jesus Rolls,18169,3,0,0,3,,
Made in Hong Kong,17843,388,11299,63.3,388,2020-10-01,2020-10-01
Counter Column,17459,388,6455,37,388,,
Pandora and the Flying Dutchman,17401,283,5466,31.4,283,2020-11-01,2020-11-01
Advocate,16942,283,8186,48.3,283,,
Never Rarely Sometimes Always,16565,45,16285,98.3,45,2020-01-01,2020-01-01
Centigrade,16263,3,6480,39.8,3,,
Straight Up,16080,64,4075,25.3,64,2020-07-01,2020-07-01
Strike,15758,59,1934,12.3,59,,
Zappa,15502,597,2019,13,597,2020-01-01,2020-01-01
American Deep State,15269,0,15269,100,0,,
Vitalina Varela,14941,53,4612,30.9,53,2020-01-01,2020-01-01
"I Was at Home, But...",14078,23,6115,43.4,23,,
Killer Raccoons! 2! Dark Christmas in the Dark!,13282,259,3472,26.1,259,2020-11-01,2020-11-01
The Wild Goose Lake,12573,259,4573,36.4,259,,
The Grizzlies,11650,651,4560,39.1,651,2020-01-01,2020-01-01
Twiceborn,11527,651,5217,45.3,651,,
Powerbomb,11319,250,8712,77,250,2020-10-01,2020-10-01
Draupadi Unleashed,11317,242,7157,63.2,242,,
Lost in America,11301,560,6798,60.2,560,2020-12-01,2020-12-01
You Go to My Head,10682,0,5864,54.9,0,,
Coded Bias,10236,258,10236,100,258,2020-07-01,2020-07-01
The Last Tree,10128,116,2424,23.9,116,,
Guest Artist,10017,0,944,9.4,0,2020-07-01,2020-07-01
Foosballers,9966,0,0,0,0,,
The Truth,9619,519,2200,22.9,519,2020-03-01,2020-03-01
Just One More Kiss,9130,4,2420,26.5,4,,
Stardust,9087,534,4289,47.2,534,2020-01-01,2020-01-01
Kindred,8921,0,6795,76.2,0,,
The Trip to Greece,8340,408,1110,13.3,408,2020-11-01,2020-11-01
The Bra,8314,408,4472,53.8,408,,
Inside the Rain,8140,692,8140,100,692,2020-01-01,2020-01-01
The Wave,8101,692,0,0,692,,
Dreaming Grand Avenue,7789,1367,876,11.2,1367,2020-11-01,2020-11-01
Resistance,7464,1367,0,0,1367,,
In the Life of Music,7238,55,897,12.4,55,2020-10-01,2020-10-01
I Am Lisa,6986,0,6986,100,0,,
What We Found,6976,450,2720,39,450,2020-12-01,2020-12-01
12 Hour Shift,6820,450,2532,37.1,450,,
Human Capital,6596,471,4331,65.7,471,2020-09-01,2020-09-01
Afterward,6477,471,6477,100,471,,
The Other Lamb,6024,304,1194,19.8,304,2020-11-01,2020-11-01
Evergreen,6023,304,517,8.6,304,,
Find Your Voice,6019,472,0,0,472,2020-02-01,2020-02-01
Lie Exposed,5938,0,2957,49.8,0,,
Sex and the Future,5745,11,745,13,11,2020-11-01,2020-11-01
Human Nature,5487,11,5294,96.5,11,,
Made in Bangladesh,5322,35,1319,24.8,35,2020-01-01,2020-01-01
Still Here,5268,1,3321,63,1,,
Bang! Bang!,5042,330,965,19.1,330,2020-02-01,2020-02-01
Ottolenghi and the Cakes of Versailles,4962,15,1955,39.4,15,,
Last Call,4779,112,2114,44.2,112,2020-10-01,2020-10-01
Farewell Amor,4689,112,3168,67.6,112,,
No Ordinary Love,4656,475,4656,100,475,2020-11-01,2020-11-01
Babyteeth,4507,475,2487,55.2,475,,
Dear Santa,4109,23,2581,62.8,23,2020-02-01,2020-02-01
"Amigo Skate, Cuba",4019,2,500,12.4,2,,
King's Gambit,3816,50,1936,50.7,50,2020-09-01,2020-09-01
The Shade Shepherd,3564,45,544,15.3,45,,
The Roads Not Taken,3518,80,3310,94.1,80,2020-03-01,2020-03-01
Ip Man: Kung Fu Master,3439,32,2107,61.3,32,,
Crock of Gold: A Few Rounds with Shane MacGowan,2455,66,2202,89.7,66,2020-07-01,2020-07-01
Moondance,2371,66,2371,100,66,,
Goldie,2302,280,1200,52.1,280,2020-11-01,2020-11-01
The Transcendents,2041,280,358,17.5,280,,
Mermaid in Paris,1988,55,1202,60.5,55,2020-07-01,2020-07-01
The Bay of Silence,1941,0,1454,74.9,0,,
The Fox Hunter,1577,79,602,38.2,79,2020-10-01,2020-10-01
The Painted Bird,1460,75,452,31,75,,
Fear Pharm,1157,68,0,0,68,2020-11-01,2020-11-01
Hai Tang Hong,1107,68,310,28,68,,
Parallel Policy,1070,650,1070,100,650,2020-02-01,2020-02-01
10 Days with Dad,856,650,856,100,650,,
Night Shift,534,139,534,100,139,2020-03-01,2020-03-01
Greater,527,4,527,100,4,,
Granny Nanny,432,165,432,100,165,2020-02-01,2020-02-01
Sol,327,4,327,100,4,,
It's for Your Own Good,256,21,256,100,21,2020-01-01,2020-01-01
Benjamin the Elephant (2020),49,2,0,0,2,,
