titles,gross,max_theaters,opening_gross,opening_weekend_perc,opening_theaters,open_date,close_date
It,1347126,3652,0,0,3652,2019-07-01,2019-07-01
Spirited Away,1322927,1516,561821,42.5,1516,2019-03-01,2019-03-01
One Piece: Stampede,1298528,1059,357740,27.5,1059,,
Pilgrim's Progress,1294596,3452,678647,52.4,3452,2019-11-01,2019-11-01
No Safe Spaces,1291514,3452,45236,3.5,3452,,
Asterix: The Secret of the Magic Potion,1271953,891,193040,15.2,891,2019-07-01,2019-07-01
Metallica & San Francisco Symphony - S&M2,1252385,4,144736,11.6,4,,
BTS World Tour 'Love Yourself: Speak Yourself' (The Final) Seoul Live Viewing,1226552,2607,1226552,100,2607,2019-05-01,2019-05-01
High Life,1225852,2607,99341,8.1,2607,2019-06-01,2019-06-01
All Is True,1200481,2454,44211,3.7,2454,2019-11-01,2019-11-01
Kingdom Men Rising,1188936,2439,0,0,2439,2019-01-01,2019-01-01
Los Domirriqueños 2,1187280,3528,341847,28.8,3528,2019-01-01,2019-01-01
Ek Ladki Ko Dekha Toh Aisa Laga,1182636,3521,606775,51.3,3521,2019-04-01,2019-04-01
Nothing to Lose 2,1150551,3437,606934,52.8,3437,2019-04-01,2019-04-01
Konosuba!: God's Blessing on This Wonderful World! - Legend of Crimson,1134786,3413,0,0,3413,2019-07-01,2019-07-01
Playmobil: The Movie,1115008,2220,656530,58.9,2220,2019-06-01,2019-06-01
My Neighbor Totoro,1105564,4,484254,43.8,4,2019-08-01,2019-08-01
El Coyote,1101470,2203,0,0,2203,2019-02-01,2019-02-01
The Song of Names,1077584,2203,39452,3.7,2203,2019-03-01,2019-03-01
Merci pour tout,1073969,2530,231908,21.6,2530,2019-02-01,2019-02-01
Bennett's War,1056416,2530,430898,40.8,2530,2019-04-01,2019-04-01
Princess Mononoke,1046446,2750,417311,39.9,2750,2019-05-01,2019-05-01
Luka Chuppi,1042905,2750,485342,46.5,2750,2019-06-01,2019-06-01
The Souvenir,1036737,2745,78400,7.6,2745,2019-08-01,2019-08-01
Noah,1035603,2745,392734,37.9,2745,2019-10-01,2019-10-01
Perfect Strangers,1014507,2138,422656,41.7,2138,2019-04-01,2019-04-01
Marianne & Leonard: Words of Love,1012034,2138,44942,4.4,2138,2019-06-01,2019-06-01
Kiki's Delivery Service,1004057,2307,352556,35.1,2307,2019-08-01,2019-08-01
Jesus Is King,973000,2307,830000,0,2307,2019-10-01,2019-10-01
Rush: Cinema Strangiato 2019,960073,2112,2580,0.3,2112,2019-11-01,2019-11-01
The Fighting Preacher,954641,4,60223,6.3,4,2019-01-01,2019-01-01
Toni Morrison: The Pieces I Am,903018,978,48050,5.3,978,2019-10-01,2019-10-01
Kinky Boots the Musical,900451,8,386612,42.9,8,,
Between Me and My Mind,875191,2417,14614,1.7,2417,2019-03-01,2019-03-01
Pati Patni Aur Woh,874044,2411,432145,49.4,2411,2019-04-01,2019-04-01
Howl's Moving Castle,865647,2625,368180,42.5,2625,2019-12-01,2019-12-01
The Goonies,864378,2625,0,0,2625,,
Steel Magnolias,855421,1705,495528,57.9,1705,2019-04-01,2019-04-01
Woman at War,847495,1705,18370,2.2,1705,2019-05-01,2019-05-01
Alien,833658,930,386976,46.4,930,2019-03-01,2019-03-01
Que Leones,822828,4,0,0,4,2019-06-01,2019-06-01
Climax,817339,1342,119423,14.6,1342,2019-11-01,2019-11-01
Transit,815290,1342,31931,3.9,1342,2019-12-01,2019-12-01
Honeyland,815082,472,31381,3.9,472,2019-03-01,2019-03-01
Chonda Pierce: Unashamed,787979,472,0,0,472,2019-05-01,2019-05-01
Elf,786249,2404,0,0,2404,2019-08-01,2019-08-01
Student of the Year 2,778566,2404,462108,59.4,2404,2019-10-01,2019-10-01
The Church,772000,588,272412,35.3,588,2019-03-01,2019-03-01
Patterns of Evidence: Moses Controversy,765361,120,217327,28.4,120,2019-07-01,2019-07-01
I Love Lucy: A Colorized Celebration,754323,2561,0,0,2561,2019-01-01,2019-01-01
Joni 75: A Birthday Celebration,752205,2561,35111,4.7,2561,2019-03-01,2019-03-01
The Game Changers,739711,2114,0,0,2114,2019-06-01,2019-06-01
David Crosby: Remember My Name,732793,2114,43483,5.9,2114,2019-08-01,2019-08-01
More Than Blue,722669,1815,185928,25.7,1815,2019-04-01,2019-04-01
The Captain,706572,1815,324769,46,1815,2019-06-01,2019-06-01
Where's My Roy Cohn?,705274,1033,41202,5.8,1033,2019-08-01,2019-08-01
Non-Fiction,704919,5,29853,4.2,5,,
Spirits in the Forest,704744,690,232452,33,690,2019-06-01,2019-06-01
Raise Hell: The Life & Times of Molly Ivins,694410,613,94504,13.6,613,2019-07-01,2019-07-01
The Sky Is Pink,652592,2332,334713,51.3,2332,2019-10-01,2019-10-01
Nancy Drew and the Hidden Staircase,623088,2332,0,0,2332,2019-11-01,2019-11-01
Dirty Dancing,622968,1075,356515,57.2,1075,2019-02-01,2019-02-01
American Masters: Miles Davis: Birth of the Cool,614201,853,18258,3,853,2019-05-01,2019-05-01
Roger Waters - Us + Them,611644,1082,251842,41.2,1082,2019-10-01,2019-10-01
The Muppet Movie,610475,1022,0,0,1022,,
